Date,Open,High,Low,Close,Adj Close,Volume,Company Name
2002-08-02,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,30000,Paras Petrofils Limited
2002-08-05,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0,Paras Petrofils Limited
2002-08-06,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0,Paras Petrofils Limited
2002-08-07,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0,Paras Petrofils Limited
2002-08-08,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0,Paras Petrofils Limited
2002-08-09,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0,Paras Petrofils Limited
2002-08-12,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0,Paras Petrofils Limited
2002-08-13,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0,Paras Petrofils Limited
2002-08-14,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0,Paras Petrofils Limited
2002-08-15,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0,Paras Petrofils Limited
2002-08-16,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0,Paras Petrofils Limited
2002-08-19,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0,Paras Petrofils Limited
2002-08-20,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0,Paras Petrofils Limited
2002-08-21,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0,Paras Petrofils Limited
2002-08-22,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0,Paras Petrofils Limited
2002-08-23,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0,Paras Petrofils Limited
2002-08-26,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0,Paras Petrofils Limited
2002-08-27,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0,Paras Petrofils Limited
2002-08-28,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0,Paras Petrofils Limited
2002-08-29,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0,Paras Petrofils Limited
2002-08-30,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0,Paras Petrofils Limited
2002-09-02,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0,Paras Petrofils Limited
2002-09-03,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0,Paras Petrofils Limited
2002-09-04,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0,Paras Petrofils Limited
2002-09-05,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0,Paras Petrofils Limited
2002-09-06,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0,Paras Petrofils Limited
2002-09-09,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0,Paras Petrofils Limited
2002-09-10,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0,Paras Petrofils Limited
2002-09-11,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0,Paras Petrofils Limited
2002-09-12,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0,Paras Petrofils Limited
2002-09-13,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,50000,Paras Petrofils Limited
2002-09-16,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-09-17,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-09-18,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-09-19,0.25,0.25,0.2249999940395355,0.2249999940395355,0.2249999940395355,50000,Paras Petrofils Limited
2002-09-20,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-09-23,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-09-24,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-09-25,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-09-26,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-09-27,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-09-30,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-10-01,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-10-02,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-10-03,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-10-04,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-10-07,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-10-08,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-10-09,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-10-10,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-10-11,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-10-14,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-10-15,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-10-16,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-10-17,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-10-18,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-10-21,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-10-22,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-10-23,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-10-24,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-10-25,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-10-28,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-10-29,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-10-30,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-10-31,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-11-01,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-11-04,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-11-05,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-11-06,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-11-07,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-11-08,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-11-11,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-11-12,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-11-13,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-11-14,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-11-15,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-11-18,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-11-19,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-11-20,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-11-21,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-11-22,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-11-25,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-11-26,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-11-27,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-11-28,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-11-29,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-12-02,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-12-03,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-12-04,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-12-05,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-12-06,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-12-09,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-12-10,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
2002-12-11,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0.2249999940395355,0,Paras Petrofils Limited
